nombre_completo,correo,dni,especialidad,fecha_ingreso,telefono,direccion,contraseña
Andrea Pizarro,C56789012@utp.edu.pe,89873378,Quimica,2019-08-29 00:00:00,+51 926780762,"Jr Huancayo 987, La Victoria",q55cc6mqs3i3
Jose Miranda,C12345678@utp.edu.pe,91700952,Fisica,2019-01-12 00:00:00,+51 995188432,"Av Angamos Este 109, Surquillo",hs1nerytxllm
Isabella Leon,C87654321@utp.edu.pe,80405345,Ingenieria Informatica,2019-04-24 00:00:00,+51 978859311,"Jr Trujillo 210, Rimac",1g7jyltm2re6
Angel Torres,C23456789@utp.edu.pe,45194861,Biologia,2019-08-14 00:00:00,+51 935243920,"Av Sucre 321, Pueblo Libre",mou2vcp6vsf0
Ximena Luna,C78901234@utp.edu.pe,86245153,Ciencias Ambientales,2018-10-05 00:00:00,+51 976801369,"Calle Berlin 432, Miraflores",90m4fe9kgfk3
Mateo Solis,C45678901@utp.edu.pe,65856333,Ciencias de la Computacion,2021-09-02 00:00:00,+51 964533996,"Jr Puno 543, Cercado de Lima",dvf8z6cup1sf
Emilia Rios,C01234567@utp.edu.pe,20664603,Biologia,2021-01-14 00:00:00,+51 914016089,"Av Primavera 654, Santiago de Surco",wp0mguf17idr
Fabrizio Guzman,C89012345@utp.edu.pe,96625576,Ingenieria,2019-03-29 00:00:00,+51 977120990,"Calle General Mendiburu 765, Miraflores",g91y0p07wr8u
Renata Vidal,C67890123@utp.edu.pe,35266078,Ciencias de la Computacion,2018-12-28 00:00:00,+51 990877129,"Jr Callao 876, Cercado de Lima",uyh669h4gjqt
Joaquin Peña,C34567890@utp.edu.pe,87997584,Matematicas,2019-02-27 00:00:00,+51 956447808,"Av Dos de Mayo 987, San Isidro",zjhbtoln25ra
Mariana Chavez,C90123456@utp.edu.pe,85340508,Biologia,2019-09-05 00:00:00,+51 952789527,"Calle Los Jazmines 109, San Isidro",w75k8u3p2jo1
Nicolas Delgado,C56789012@utp.edu.pe,14229945,Ingenieria Informatica,2020-03-26 00:00:00,+51 935583669,"Av Brasil 210, Pueblo Libre",cc9q4a243gz1
Fernanda Quispe,C12345678@utp.edu.pe,47744220,Ingenieria,2020-10-22 00:00:00,+51 961430949,"Jr Ica 321, Cercado de Lima",h8elmpv6q9ym
Martin Nuñez,C87654321@utp.edu.pe,63908741,Matematicas,2020-12-11 00:00:00,+51 912156191,"Av Faustino Sanchez Carrion 432, San Isidro",529q7hffohpj
Antonella Bustamante,C23456789@utp.edu.pe,35110517,Ciencias Ambientales,2018-11-11 00:00:00,+51 903195903,"Calle Schell 543, Miraflores",onqwizrk6p3z
Benjamin Galvez,C78901234@utp.edu.pe,61983525,Estadistica,2022-09-28 00:00:00,+51 980060999,"Av Wilson 654, Cercado de Lima",60vcrhrf5q2v
Florencia Zapata,C45678901@utp.edu.pe,43082479,Ciencias Economicas,2020-10-11 00:00:00,+51 990695438,"Jr Napo 765, Breña",a02fk6en9m5u
Santiago Morales,C01234567@utp.edu.pe,53660471,Ingenieria Informatica,2018-12-08 00:00:00,+51 945986466,"Av La Paz 876, Miraflores",vlr5gjb601b8
Victoria Salas,C89012345@utp.edu.pe,12137891,Ciencias de la Computacion,2019-01-07 00:00:00,+51 976303731,"Calle Los Faisanes 987, Chorrillos",jmd8xd3cqynr
Felipe Acosta,C67890123@utp.edu.pe,97964494,Matematicas,2018-11-06 00:00:00,+51 969174996,"Av Pachacutec 109, Villa El Salvador",rdoafh5b0k1g
Luciana Sanchez,C34567890@utp.edu.pe,36323461,Estadistica,2021-01-18 00:00:00,+51 902645007,"Jr Cuzco 210, Cercado de Lima",cnrgtqxfo96f
Gabriel Vasquez,C90123456@utp.edu.pe,62092669,Ciencias de la Computacion,2019-08-20 00:00:00,+51 926866599,"Av El Polo 321, Santiago de Surco",2yyepopt55p8
Zoe Mendoza,C56789012@utp.edu.pe,81537903,Quimica,2021-06-15 00:00:00,+51 934653495,"Calle Colon 432, Miraflores",icdfgw3cqg68
Gonzalo Davila,C12345678@utp.edu.pe,83614980,Estadistica,2018-06-26 00:00:00,+51 956295074,"Av Peru 543, San Martin de Porres",n7h0b2o4shmv
Isidora Guerra,C87654321@utp.edu.pe,26009953,Biologia,2019-04-19 00:00:00,+51 941523097,"Jr Moquegua 654, Cercado de Lima",w65r0bhsjo8v
Franco Loyola,C23456789@utp.edu.pe,99283721,Ciencias Economicas,2022-06-14 00:00:00,+51 987937950,"Av Jose Pardo 765, Miraflores",vd0txjid6k67
Valentina Cordova,C78901234@utp.edu.pe,92438165,Ingenieria Informatica,2022-06-07 00:00:00,+51 920303782,"Calle Los Pinos 876, La Molina",2ghbfoehtf62
