nombre_completo,correo,dni,carrera,ciclo,fecha_nacimiento,telefono,direccion,clave
Randall Nguyen,U60302600@utp.edu.pe,60302600,Ingenieria de Sistemas,7,2001-05-24,+51 966118135,Direccion 29,!rDmtl+<
Valentine Whitaker,U51156096@utp.edu.pe,51156096,Psicologia,10,1995-05-17,+51 932486077,Direccion 46,;D$Uyap\
Kristine Ali,U93036239@utp.edu.pe,93036239,Derecho,1,2000-04-22,+51 915032370,Direccion 30,"/""8"".TdA"
Joey Ferguson,U43771639@utp.edu.pe,43771639,Medicina,7,1994-06-16,+51 944192186,Direccion 81,fSvaC`N<
Sandra Cruz,U92080170@utp.edu.pe,92080170,Negocios Internacionales,7,1995-06-16,+51 940527798,Direccion 9,"SI""im~sT"
Emery Arroyo,U58760155@utp.edu.pe,58760155,Ingenieria de Sistemas,8,1996-10-22,+51 972386268,Direccion 38,"B:)C"".^6"
Matilda Hood,U68002106@utp.edu.pe,68002106,Psicologia,7,2001-04-21,+51 971670306,Direccion 23,$;(^RQ:l
Reynaldo Duke,U69831840@utp.edu.pe,69831840,Derecho,1,2004-01-09,+51 953374643,Direccion 49,iM[M\TxS
Robbie Osborn,U23545241@utp.edu.pe,23545241,Medicina,3,2004-03-16,+51 930560301,Direccion 28,tMXyWH!%
Ross Avila,U90755427@utp.edu.pe,90755427,Negocios Internacionales,10,2002-11-25,+51 920720305,Direccion 33,kKP1:0wV
Rudolph Barton,U76185420@utp.edu.pe,76185420,Ingenieria de Sistemas,1,2003-12-09,+51 960103091,Direccion 67,d-Z!<|j+
Jackie Mata,U60127279@utp.edu.pe,60127279,Psicologia,10,2004-02-21,+51 982496133,Direccion 28,to)BRbTy
Dexter Singh,U32269759@utp.edu.pe,32269759,Derecho,10,1998-02-14,+51 941460297,Direccion 42,"#^?BD?u"""
Maryellen Nolan,U27507682@utp.edu.pe,27507682,Medicina,8,1993-08-19,+51 901923206,Direccion 80,BR)^^trz
Vickie Doyle,U95365599@utp.edu.pe,95365599,Negocios Internacionales,1,2004-09-06,+51 981651207,Direccion 36,n7Wt5]=%
Laurie Velez,U38008975@utp.edu.pe,38008975,Ingenieria de Sistemas,10,1999-12-16,+51 910982982,Direccion 56,vTm(JMGZ
Jeanette Finley,U91013639@utp.edu.pe,91013639,Psicologia,10,1993-03-20,+51 964469757,Direccion 23,bL7%]K@[
Fabian Moon,U69944153@utp.edu.pe,69944153,Derecho,5,1995-04-08,+51 938144284,Direccion 11,`:S-Km?]
Zackary Rich,U16143061@utp.edu.pe,16143061,Medicina,9,1998-10-10,+51 916925222,Direccion 28,"QdMy,&R#"
Georgina Thompson,U65165659@utp.edu.pe,65165659,Negocios Internacionales,5,1995-03-10,+51 943167998,Direccion 92,"3,(0OV-^"
Levi Avery,U93452756@utp.edu.pe,93452756,Ingenieria de Sistemas,3,1993-05-19,+51 908878393,Direccion 35,OoYLTwMH
Earnestine Wyatt,U76040165@utp.edu.pe,76040165,Psicologia,8,2001-03-02,+51 957512259,Direccion 21,I'^DC@+^
Tameka Garza,U97991305@utp.edu.pe,97991305,Derecho,9,1996-11-07,+51 913707666,Direccion 63,mv'_O<:0
Gladys Moyer,U52127782@utp.edu.pe,52127782,Medicina,9,2001-06-22,+51 987503650,Direccion 80,$;)7TS(C
Harris Arnold,U54310765@utp.edu.pe,54310765,Negocios Internacionales,7,1997-08-07,+51 962429355,Direccion 70,loO0G!w.
Cyrus Proctor,U87887893@utp.edu.pe,87887893,Ingenieria de Sistemas,1,1996-10-08,+51 970755724,Direccion 27,T>gVV$V>
Anita Olsen,U36327890@utp.edu.pe,36327890,Psicologia,4,2000-01-24,+51 906968064,Direccion 63,>BtNc!n5
Tamra Fowler,U37070365@utp.edu.pe,37070365,Derecho,1,1995-10-18,+51 927079070,Direccion 72,"D;lm,R'd"
Harland Cannon,U77694694@utp.edu.pe,77694694,Medicina,7,1997-10-29,+51 997177528,Direccion 24,a.hvp*Wy
Mara Joseph,U82097435@utp.edu.pe,82097435,Negocios Internacionales,1,1999-03-13,+51 993905753,Direccion 13,"QC""qPYX+"
Brandie Hopkins,U24124621@utp.edu.pe,24124621,Ingenieria de Sistemas,7,1999-12-17,+51 985135110,Direccion 45,v7rAM;uM
Cherie Luna,U55837042@utp.edu.pe,55837042,Psicologia,6,1997-07-25,+51 909453461,Direccion 37,qWGC)OwH
Byron Adkins,U25349590@utp.edu.pe,25349590,Derecho,5,1994-08-24,+51 923100205,Direccion 86,"Wi+,:&f4"
Benedict Berry,U47810856@utp.edu.pe,47810856,Medicina,6,1999-04-28,+51 982613704,Direccion 88,U`nihzgp
Ismael Cantu,U34698603@utp.edu.pe,34698603,Negocios Internacionales,2,1994-04-13,+51 945532432,Direccion 80,"fo;6Ya}"""
Seymour Scott,U50982812@utp.edu.pe,50982812,Ingenieria de Sistemas,1,1997-01-26,+51 970320052,Direccion 76,",6/2C{?T"
Marietta Johnston,U78721615@utp.edu.pe,78721615,Psicologia,6,1999-04-28,+51 956129786,Direccion 46,vjbM)?I/
Derrick Harvey,U61796778@utp.edu.pe,61796778,Derecho,3,1993-09-07,+51 914119379,Direccion 8,|fwb3cL%
Glen Pittman,U20529736@utp.edu.pe,20529736,Medicina,6,2001-05-21,+51 947551987,Direccion 11,"W"")2#zpb"
Augusta Shah,U50838557@utp.edu.pe,50838557,Negocios Internacionales,7,1993-03-10,+51 961697104,Direccion 67,#kFXa.eR
Rod Gonzalez,U85920995@utp.edu.pe,85920995,Ingenieria de Sistemas,1,2004-11-24,+51 926681468,Direccion 18,zMKW2?$Q
Mable Hardy,U50562856@utp.edu.pe,50562856,Psicologia,5,2000-08-04,+51 939886567,Direccion 81,(SO^Qy*0
Virgie Preston,U62075905@utp.edu.pe,62075905,Derecho,4,1997-11-27,+51 929042065,Direccion 84,)&@eJAC#
Jeanine Faulkner,U88486956@utp.edu.pe,88486956,Medicina,10,1997-04-18,+51 934564463,Direccion 20,2ONmO7+)
Rubin Mooney,U73955701@utp.edu.pe,73955701,Negocios Internacionales,6,1995-04-07,+51 959663054,Direccion 65,"9EF=ZzP"""
Charlie Butler,U73086466@utp.edu.pe,73086466,Ingenieria de Sistemas,2,1993-12-16,+51 966457617,Direccion 66,"UO""8{S=T"
Richard Klein,U75807262@utp.edu.pe,75807262,Psicologia,2,2003-11-26,+51 915421879,Direccion 79,k%JyuUs{
Susan Carr,U14373773@utp.edu.pe,14373773,Derecho,10,1997-06-18,+51 925856420,Direccion 4,VoKjKOKW
Boris Rocha,U55701483@utp.edu.pe,55701483,Medicina,3,1998-11-02,+51 928725199,Direccion 74,|2IQTSDH
Alicia Benjamin,U97877517@utp.edu.pe,97877517,Negocios Internacionales,6,1994-02-10,+51 963411450,Direccion 49,Atr$XcGQ
Raymond Becker,U61327205@utp.edu.pe,61327205,Ingenieria de Sistemas,4,1998-09-08,+51 999380027,Direccion 43,"#VB,kca,"
Carrie Mcconnell,U15484883@utp.edu.pe,15484883,Psicologia,3,2003-05-11,+51 944857925,Direccion 82,Ut!ce)r3
Merlin Rodriguez,U39785706@utp.edu.pe,39785706,Derecho,3,1997-06-01,+51 909143954,Direccion 93,#¡DIV/0!
Bernie Stout,U45361146@utp.edu.pe,45361146,Medicina,10,1999-07-31,+51 961845680,Direccion 7,V/>iKa^_
Lucas Zuniga,U42538286@utp.edu.pe,42538286,Negocios Internacionales,1,1998-09-28,+51 925385122,Direccion 10,-tX?0}@9
Tommy Palmer,U41640483@utp.edu.pe,41640483,Ingenieria de Sistemas,7,1998-06-24,+51 984129771,Direccion 59,8tr0cQ*'
Roscoe Golden,U83412737@utp.edu.pe,83412737,Psicologia,7,1998-02-15,+51 924864664,Direccion 70,5ECP;L.h
Otto Ray,U15237922@utp.edu.pe,15237922,Derecho,10,2001-11-24,+51 900795405,Direccion 81,q/\@ph}p
Bertram Shaffer,U80670742@utp.edu.pe,80670742,Medicina,9,2002-01-25,+51 929081558,Direccion 72,"x24I""/:r"
Gonzalo Cantrell,U16147885@utp.edu.pe,16147885,Negocios Internacionales,3,1997-07-25,+51 956425615,Direccion 31,a^KXm0yY
Elmo Mendez,U36869019@utp.edu.pe,36869019,Ingenieria de Sistemas,10,1999-09-16,+51 980806427,Direccion 99,"IX,WhC1q"
Monte Jensen,U62239675@utp.edu.pe,62239675,Psicologia,3,1998-05-06,+51 921626478,Direccion 53,'7d}_Xy-
Arline Little,U88968060@utp.edu.pe,88968060,Derecho,9,2004-03-13,+51 902250962,Direccion 87,YHi3%XjE
Martina Roberts,U38758983@utp.edu.pe,38758983,Medicina,4,1993-07-09,+51 934985936,Direccion 62,RNngl@2G
